Country,ISO,submission,submission_label,previous_submission,submission_type,submission_type_label,submission_date,indc_submission,indc_submission_label,pa_status,pa_status_label,pa_ratified,pa_ratified_label,pa_ratified_date,pa_withdraw_date,pa_sign,pa_sign_label,pa_sign_date,ndce_ghg,ndce_compare,ndce_status_2020,ndce_status_2020_label,ndce_statement,ndce_source,ndce_date,nz_status,nz_status_label,nz_source,nz_year,nz_year_label,nz_ghg,nz_ghg_label,nz_sec,nz_sec_label,nz_offset,nz_offset_label,nz_ship,nz_ship_label,nz_separate_net_gross,nz_separate_net_gross_label
Italy,ITA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/11/2016,,Yes,Yes,4/22/2016,0.76%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020_0.pdf"">EU Updated First NDC (Italy)</a>",12/17/2020,In Policy Document (2021); In Political Pledge (12/12/2020),Net-zero Target in Policy Document,"<a href=""https://ec.europa.eu/clima/sites/lts/lts_it_it.pdf"">STRATEGIA ITALIANA DI LUNGO TERMINE SULLA RIDUZIONE DELLE EMISSIONI DEI GAS A EFFETTO SERRA</a> (2021)<br><a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Ivory Coast,CIV,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/9/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/25/2016,,Yes,Yes,4/22/2016,0.10%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Ivory Coast commits to reducing its GHG emissions by 30.41% (unconditional) and by 98.95% (conditional) compared to the BAU scenario by 2030. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN_CIV_2022.pdf"">Cote D'Ivoire Second NDC</a>",5/9/2022,,,,,,,,,,,,,,,
Jamaica,JAM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/1/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/10/2017,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Jamaica commits to reduce emissions by 25.4% (unconditional) and 28.5% (conditional) compared to business-as-usual in 2030. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Updated NDC Jamaica - ICTU Guidance.pdf"">NDC Registry</a>",7/1/2020,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Japan,JPN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/22/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/8/2016,,Yes,Yes,4/22/2016,2.28%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Japan commits to reduce GHG emissions by 46% by 2030 compared to 2013 levels.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/JAPAN_FIRST NDC %28UPDATED SUBMISSION%29.pdff"">Japan First NDC (Updated submission)</a>",10/22/2021,"In Law(6/2/2021); <br>In Political Pledge (10/26/2020); <br>In Policy Document (6/11/2019, 10/29/2021, 11/21/2021)",Net-zero Target in Law,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Japan%20First/JAPAN_FIRST%20NDC%20(UPDATED%20SUBMISSION).pdf"">Japan Updated First NDC</a> (11/21/2021); <a href=""https://unfccc.int/sites/default/files/resource/Japan_LTS2021.pdf"">The Long-Term Strategy under the Paris Agreement (Revised)</a> (10/29/21); <a href=""https://www.sangiin.go.jp/japanese/joho1/kousei/gian/204/pdf/s0802040472040.pdf "">Act on Promotion of Global Warming Countermeasures (Japanese)</a> (06/02/2021);<a href=""https://news.un.org/en/story/2020/10/1076132"">Japanese Prime Minister Suga Yoshihide’s announcement</a> (10/26/2020); <br><a href=""https://unfccc.int/sites/default/files/resource/The%20Long-term%20Strategy%20under%20the%20Paris%20Agreement.pdf"">The Long-term Strategy under the Paris Agreement</a> (6/11/2019)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,"Not stated, although Japan will “lead international rule making and creating appropriate framework for using market based mechanisms”",Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Jordan,JOR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/4/2016,,Yes,Yes,4/22/2016,0.07%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Jordan commits to reducing its emissions by 5% (unconditional) and 26% (conditional) by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/UPDATED SUBMISSION OF JORDANS.pdf"">Jordan First NDC (Updated submission)</a>",10/12/2021,,,,,,,,,,,,,,,
Kazakhstan,KAZ,Only First NDC,Only First NDC,,First NDC,First NDC,12/6/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,12/6/2016,,Yes,Yes,8/2/2016,0.55%,,,,,,,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2060,Target Year After 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Kenya,KEN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/27/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,12/28/2016,,Yes,Yes,4/22/2016,0.15%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Kenya commits to reduce emissions by 32% by 2030 compared to BAU of 143 MtCO2e.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Kenya%27s First  NDC %28updated version%29.pdf"">Kenya's First NDC (Updated submission)</a>",12/27/2020,,,,,,,,,,,,,,,
Kiribati,KIR,Only First NDC,Only First NDC,,First NDC,First NDC,9/21/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.00%,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/23/2018,,Yes,Yes,4/22/2016,0.27%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Kuwait commits to reducing its emissions by 7.4% by 2035 compared to BAU. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Kuwait updating the first NDC-English.pdf"">Kuwait First NDC (Updated submission)</a>",10/12/2021,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/9/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/18/2020,,Yes,Yes,9/21/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Kyrgyzstan commits to reducing its emissions by 16.63% by 2025 and by 15.97% by 2030 compared to BAU (unconditional), and by 36.61% by 2025 and by 43.62% by 2030 compared to BAU (conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/%D0%9E%D0%9D%D0%A3%D0%92 ENG %D0%BE%D1%82 08102021.pdf"">Kyrgyzstan First NDC (Updated submission)</a>",10/9/2021,,,,,,,,,,,,,,,
Laos,LAO,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/7/2016,,Yes,Yes,4/22/2016,0.08%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Lao PDR commits to reduce emissions by 60% (unconditional) by 2030, compared to the baseline scenario, with 2030 conditional targets set for land use, energy, agriculture, and waste sectors.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC 2020 of Lao PDR %28English%29%2C 09 April 2021 %281%29.pdf"">Laos Updated First NDC</a>",5/12/2021,In Policy Document (5/12/2021)<br>In Political Pledge (12/12/2020),Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Lao%20People%27s%20Democratic%20Republic%20First/NDC%202020%20of%20Lao%20PDR%20(English),%2009%20April%202021%20(1).pdf"">Laos Updated First NDC</a> (5/12/2021)<br><a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2050,2050 as Target Year,Partial GHG Coverage,Partial GHG Coverage,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only ,Net Target Only 
Latvia,LVA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,3/16/2017,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020_0.pdf"">EU Updated First NDC (Latvia)</a>",12/17/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Latvia.pdf"">Strategy of Latvia for the Achievement of Climate Neutrality by 2050</a> (12/9/2020); <br><a href=""https://climate-laws.org/cclow/geographies/latvia/policies/latvia-s-strategy-to-achieve-climate-neutrality-by-2050"">Latvia’s Strategy to Achieve Climate Neutrality by 2050</a> (12/1/2019)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Lebanon,LBN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,3/15/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/5/2020,,Yes,Yes,4/22/2016,0.07%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Lebanon commits to reduce GHG emissiosn by 20% (unconditional) and 31% (conditional) compared to BAU. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Lebanon%27s 2020 Nationally Determined Contribution Update.pdf"">Lebanon First NDC (Updated submission)</a>",3/15/2021,,,,,,,,,,,,,,,
Lesotho,LSO,Only First NDC,Only First NDC,,First NDC,First NDC,6/21/2018,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,,,Yes,Yes,4/22/2016,0.01%,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,8/3/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,8/27/2018,,Yes,Yes,4/22/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Liberia commits to reduce GHG emissions by 10% (unconditional) and 64% (conditional) by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Liberia%27s Updated NDC_RL_FINAL %28002%29.pdf"">Liberia First NDC (Updated submission)</a>",8/3/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Liberia%20First/INDC%20Final%20Submission%20Sept%2030%202015%20Liberia.pdf"">Liberia's First NDC</a> (8/27/2018)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Libya,LBY,No Document Submitted,No Document Submitted,,No Document Submitted,No Document Submitted,,No Document Submitted,No Document Submitted,Signed Agreement,Signed Agreement,No,No,,,Yes,Yes,4/22/2016,0.25%,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,Only First NDC,Only First NDC,,First NDC,First NDC,9/20/2017,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/20/2017,,Yes,Yes,4/22/2016,0.00%,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/2/2017,,Yes,Yes,4/22/2016,0.04%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020_0.pdf"">EU Updated First NDC (Lithuania)</a>",12/17/2020,In Policy Document (11/2/2021)<br>In Political Pledge (11/2/2021),Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/National%20Climate%20Change%20Management%20Agenda%20of%20Lithuania%20%28Lithuanian%29.pdf"">Lithuania's Long-term Strategy</a> (11/2/2021); <a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-2"">Speech during COP26 World Leaders Summit</a> (11/2/2021) ",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Luxembourg,LUX,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/4/2016,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020_0.pdf"">EU Updated First NDC (Luxembourg)</a>",12/17/2020,In Policy Document (11/2/2021)<br>In Law (12/20/2020),Net-zero Target in Law,"<a href=""https://unfccc.int/sites/default/files/resource/LUX_LTS_2021.pdf"">Long-term national strategy for climate action</a> (11/2/21); <a href=""http://legilux.public.lu/eli/etat/leg/loi/2020/12/15/a994/jo"">Climate Protection Law</a> (12/20/2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Macedonia,MKD,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,4/15/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/9/2018,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The Republic of North Macedonia commits to reduce emissions by 51% compared to 1990 levels, or 82% if expressed in net emissions. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Macedonian enhanced NDC %28002%29.pdf"">The Republic of North Macedonia First NDC (Updated submission)</a>",4/15/2021,,,,,,,,,,,,,,,
Madagascar,MDG,Only First NDC,Only First NDC,,First NDC,First NDC,9/21/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.08%,,,,,,,,,,,,,,,,,,,,,
Malawi,MWI,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/29/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,6/29/2017,,Yes,Yes,9/20/2016,0.04%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Malawi commits to reduce GHG emissions by 6% (unconditional) and 51% (conditional) by 2040 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Malawi Updated NDC July 2021 submitted.pdf"">Malawi First NDC (Updated submission)</a>",7/29/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Malaysia,MYS,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/29/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/16/2016,,Yes,Yes,4/22/2016,0.80%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Malaysia commits to reduce emissions intensity (per GDP) by 45% by 2030 compared to 2005 levels.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Malaysia NDC Updated Submission to UNFCCC July 2021 final.pdf"">Malaysia First NDC (Updated submission)</a>",7/29/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://rmke12.epu.gov.my/en"">Twelfth Malaysia Plan, 2021 - 2025</a> (09/27/2021) ",2050 at earliest,Target Year After 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Maldives,MDV,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/27/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Maldives commits to reduce emissions by 26% (conditional) by 2030 compared to BAU and strive to achieve net zero by 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Maldives Nationally Determined Contribution 2020.pdf"">Maldives First NDC (Updated submission)</a>",12/27/2020,In Policy Document (12/28/2020); In Political Pledge (12/12/2020) ,Net-zero Target in Political Pledge,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Maldives%20Nationally%20Determined%20Contribution%202020.pdf"">Update of Nationally Determined Contribution of Maldives</a> (12/28/2020)<br><a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2030,Target Year Before 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Mali,MLI,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/11/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/23/2016,,Yes,Yes,4/22/2016,0.09%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Mali commits to reduce emissions by 31% for energy, 25% for agriculture, 39% for land use and forestry, and  31% for waste sectors by 2030 compared to BAU. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/MALI First NDC update.pdf"">Mali First NDC (Updated submission)</a>",10/11/2021,,,,,,,,,,,,,,,
Malta,MLT,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020_0.pdf"">EU Updated First NDC (Malta)</a>",12/17/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/MLT_LTS_Nov2021.pdf"">Malta Low Carbon Development Strategy </a> (11/12/2021)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only ,Net Target Only 
Marshall Islands,MHL,2020 NDC (Updated Second NDC),New or Updated NDC,First NDC,Updated Second NDC,Second NDC,12/30/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,RMI commits to a GHG reduction of at least 45% below 2010 levels by 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/RMI NDC-UpdateUPDATED_01.20.2021.pdf"">Marshall Islands Second NDC (Updated submission)</a>",12/30/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Marshall%20Islands%20Second/20181122%20Marshall%20Islands%20NDC%20to%20UNFCCC%2022%20November%202018%20FINAL.pdf"">Marshall Islands Second NDC</a> (11/22/2018) ; <a href=""https://unfccc.int/sites/default/files/resource/180924%20rmi%202050%20climate%20strategy%20final_0.pdf"">2050 Climate Strategy</a> (9/25/2018)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only ,Net Target Only 
Mauritania,MRT,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/27/2017,,Yes,Yes,4/22/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Mauritania commits to reducing its emissions by 11% by 2030 compared to BAU (unconditional), and to reducing its emissions by 92.49% by 2030 compared to BAU (conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN-actualis%C3%A9 2021_ Mauritania.pdf"">Mauritania First NDC (Updated submission)</a>",10/12/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://unfccc-cop26.streamworld.de/webcast/national-statements"">Speech during COP26 World Leaders Summit</a> (11/1/2021) ",2030,Target Year Before 2050,Partial GHG Coverage,Partial GHG Coverage,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Mauritius,MUS,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Mauritius commits to reduce GHG emissions by 40% by 2030 compared to BAU (6900 ktCO2e).,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Final Updated NDC for the Republic of Mauritius 01 October 2021.docx"">Mauritius First NDC (Updated submission)</a>",10/5/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2070,Target Year After 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Mexico,MEX,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,11/17/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,1.35%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Mexico commits to reducing its emissions by 35% (unconditional), and by 40% (conditional) by 2030 compared to BAU. Mexico also commits to reducing its black carbon emissions by 51% (unconditional), and by 70% (conditional) by 2030 compared to BAU. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-11/Mexico_NDC_UNFCCC_update2022_FINAL.pdf"">Mexico: Updated NDC 2022</a>",11/17/2022,,,,,,,,,,,,,,,
Moldova,MDA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,3/4/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,6/20/2017,,Yes,Yes,9/21/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Moldova commits to reduce emissions by 70% (unconditional) and up to 88% (conditional) in 2030 compared to 1990. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/MD_Updated_NDC_final_version_EN.pdf"">NDC registry</a>",3/4/2020,,,,,,,,,,,,,,,
